id     identifier                                                                                                                                                                                                simplified_identifier                               lemma                                               postag                        
270    org.jbpm.process.instance.impl.ReturnValueConstraintEvaluator                                                                                                                                             0D Collection of ReturnValueConstraintEvaluator     0d collection of ReturnValueConstraintEvaluator     NN NN IN NNP                  
271    org.drools.compiler.compiler.ReturnValueDescr                                                                                                                                                             0D Collection of ReturnValueDescr                   0d collection of ReturnValueDescr                   NN NN IN NNP                  
272    org.osgi.framework.BundleContext                                                                                                                                                                          0D Collection of BundleContext                      0d collection of BundleContext                      NN NN IN NNP                  
273    org.kie.api.event.rule.AfterMatchFiredEvent                                                                                                                                                               0D Collection of AfterMatchFiredEvent               0d collection of AfterMatchFiredEvent               NN NN IN NNP                  
274    org.kie.api.event.rule.RuleFlowGroupActivatedEvent                                                                                                                                                        0D Collection of RuleFlowGroupActivatedEvent        0d collection of RuleFlowGroupActivatedEvent        NN NN IN NNP                  
275    org.kie.api.event.rule.RuleFlowGroupDeactivatedEvent                                                                                                                                                      0D Collection of RuleFlowGroupDeactivatedEvent      0d collection of RuleFlowGroupDeactivatedEvent      NN NN IN NNP                  
276    org.kie.api.event.rule.AgendaGroupPoppedEvent                                                                                                                                                             0D Collection of AgendaGroupPoppedEvent             0d collection of AgendaGroupPoppedEvent             NN NN IN NNP                  
277    org.kie.api.event.rule.AgendaGroupPushedEvent                                                                                                                                                             0D Collection of AgendaGroupPushedEvent             0d collection of AgendaGroupPushedEvent             NN NN IN NNP                  
278    org.kie.api.event.rule.BeforeMatchFiredEvent                                                                                                                                                              0D Collection of BeforeMatchFiredEvent              0d collection of BeforeMatchFiredEvent              NN NN IN NNP                  
279    org.kie.api.event.rule.MatchCancelledEvent                                                                                                                                                                0D Collection of MatchCancelledEvent                0d collection of MatchCancelledEvent                NN NN IN NNP                  
280    org.kie.api.event.rule.MatchCreatedEvent                                                                                                                                                                  0D Collection of MatchCreatedEvent                  0d collection of MatchCreatedEvent                  NN NN IN NNP                  
281    org.custommonkey.xmlunit.Difference                                                                                                                                                                       0D Collection of Difference                         0d collection of difference                         NN NN IN NN                   
282    org.drools.compiler.compiler.AnalysisResult                                                                                                                                                               0D Collection of AnalysisResult                     0d collection of AnalysisResult                     NN NN IN NNP                  
283    java.util.List<org.drools.compiler.lang.descr.ActionDescr>                                                                                                                                                1D Collection of ActionDescr                        1d collection of ActionDescr                        NN NN IN NNP                  
284    java.util.List<org.drools.compiler.compiler.ReturnValueDescr>                                                                                                                                             1D Collection of ReturnValueDescr                   1d collection of ReturnValueDescr                   NN NN IN NNP                  
285    org.jbpm.process.instance.timer.TimerManager                                                                                                                                                              0D Collection of TimerManager                       0d collection of TimerManager                       NN NN IN NNP                  
286    org.junit.runner.Description                                                                                                                                                                              0D Collection of Description                        0d collection of description                        NN NN IN NN                   
287    bitronix.tm.resource.jdbc.PoolingDataSource                                                                                                                                                               0D Collection of PoolingDataSource                  0d collection of PoolingDataSource                  NN NN IN NNP                  
288    java.util.Map                                                                                                                                                                                             0D Collection of Map                                0d collection of map                                NN NN IN NN                   
289    java.util.List<org.kie.api.io.Resource>                                                                                                                                                                   1D Collection of Resource                           1d collection of Resource                           NN NN IN NNP                  
290    org.kie.api.io.Resource[]                                                                                                                                                                                 1D Array of Resource                                1d array of Resource                                NN NN IN NNP                  
291    org.kie.api.runtime.KieSessionConfiguration                                                                                                                                                               0D Collection of KieSessionConfiguration            0d collection of KieSessionConfiguration            NN NN IN NNP                  
292    org.kie.api.runtime.process.NodeInstanceContainer                                                                                                                                                         0D Collection of NodeInstanceContainer              0d collection of NodeInstanceContainer              NN NN IN NNP                  
293    java.util.List<WorkItem>                                                                                                                                                                                  1D Collection of WorkItem                           1d collection of WorkItem                           NN NN IN NNP                  
294    org.jbpm.bpmn2.objects.WorkItem                                                                                                                                                                           0D Collection of WorkItem                           0d collection of WorkItem                           NN NN IN NNP                  
295    org.jbpm.bpmn2.objects.WorkItemManager                                                                                                                                                                    0D Collection of WorkItemManager                    0d collection of WorkItemManager                    NN NN IN NNP                  
296    org.eclipse.emf.ecore.EClass                                                                                                                                                                              0D Collection of EClass                             0d collection of eclass                             NN NN IN NN                   
297    bpsim.impl.EList<bpsim.Scenario>                                                                                                                                                                          1D Collection of Scenario                           1d collection of scenario                           NN NN IN NN                   
298    org.eclipse.emf.common.notify.NotificationChain                                                                                                                                                           0D Collection of NotificationChain                  0d collection of NotificationChain                  NN NN IN NNP                  
299    org.eclipse.emf.ecore.InternalEObject                                                                                                                                                                     0D Collection of InternalEObject                    0d collection of InternalEObject                    NN NN IN NNP                  
300    bpsim.impl.BPSimDataType                                                                                                                                                                                  0D Collection of BPSimDataType                      0d collection of bpsimdatatype                      NN NN IN NN                   
301    bpsim.impl.BetaDistributionType                                                                                                                                                                           0D Collection of BetaDistributionType               0d collection of BetaDistributionType               NN NN IN NNP                  
302    bpsim.impl.BinomialDistributionType                                                                                                                                                                       0D Collection of BinomialDistributionType           0d collection of BinomialDistributionType           NN NN IN NNP                  
303    bpsim.impl.BooleanParameterType                                                                                                                                                                           0D Collection of BooleanParameterType               0d collection of BooleanParameterType               NN NN IN NNP                  
304    bpsim.impl.BpsimFactory                                                                                                                                                                                   0D Collection of BpsimFactory                       0d collection of BpsimFactory                       NN NN IN NNP                  
305    bpsim.impl.BpsimPackage                                                                                                                                                                                   0D Collection of BpsimPackage                       0d collection of BpsimPackage                       NN NN IN NNP                  
306    bpsim.impl.Calendar                                                                                                                                                                                       0D Collection of Calendar                           0d collection of calendar                           NN NN IN NN                   
307    bpsim.impl.ConstantParameter                                                                                                                                                                              0D Collection of ConstantParameter                  0d collection of ConstantParameter                  NN NN IN NNP                  
308    bpsim.impl.ControlParameters                                                                                                                                                                              0D Collection of ControlParameters                  0d collection of controlparameter                   NN NN IN NNS                  
309    bpsim.impl.CostParameters                                                                                                                                                                                 0D Collection of CostParameters                     0d collection of costparameter                      NN NN IN NNS                  
310    bpsim.impl.DateTimeParameterType                                                                                                                                                                          0D Collection of DateTimeParameterType              0d collection of datetimeparametertype              NN NN IN NN                   
311    bpsim.impl.DistributionParameter                                                                                                                                                                          0D Collection of DistributionParameter              0d collection of DistributionParameter              NN NN IN NNP                  
312    bpsim.impl.DocumentRoot                                                                                                                                                                                   0D Collection of DocumentRoot                       0d collection of DocumentRoot                       NN NN IN NNP                  
313    bpsim.impl.DurationParameterType                                                                                                                                                                          0D Collection of DurationParameterType              0d collection of DurationParameterType              NN NN IN NNP                  
314    bpsim.impl.ElementParameters                                                                                                                                                                              0D Collection of ElementParameters                  0d collection of elementparameter                   NN NN IN NNS                  
315    bpsim.impl.ElementParametersType                                                                                                                                                                          0D Collection of ElementParametersType              0d collection of elementparameterstype              NN NN IN NN                   
316    bpsim.impl.EnumParameterType                                                                                                                                                                              0D Collection of EnumParameterType                  0d collection of enumparametertype                  NN NN IN NN                   
317    bpsim.impl.ErlangDistributionType                                                                                                                                                                         0D Collection of ErlangDistributionType             0d collection of erlangdistributiontype             NN NN IN NN                   
318    bpsim.impl.ExpressionParameterType                                                                                                                                                                        0D Collection of ExpressionParameterType            0d collection of expressionparametertype            NN NN IN NN                   
319    bpsim.impl.FloatingParameterType                                                                                                                                                                          0D Collection of FloatingParameterType              0d collection of floatingparametertype              NN NN IN NN                   
320    bpsim.impl.GammaDistributionType                                                                                                                                                                          0D Collection of GammaDistributionType              0d collection of GammaDistributionType              NN NN IN NNP                  
321    bpsim.impl.LogNormalDistributionType                                                                                                                                                                      0D Collection of LogNormalDistributionType          0d collection of lognormaldistributiontype          NN NN IN NN                   
322    bpsim.impl.NegativeExponentialDistributionType                                                                                                                                                            0D Collection of NegativeExponentialDistributionTy  0d collection of NegativeExponentialDistributionTy  NN NN IN NNP                  
323    bpsim.impl.NormalDistributionType                                                                                                                                                                         0D Collection of NormalDistributionType             0d collection of NormalDistributionType             NN NN IN NNP                  
324    bpsim.impl.NumericParameterType                                                                                                                                                                           0D Collection of NumericParameterType               0d collection of numericparametertype               NN NN IN NN                   
325    bpsim.impl.Parameter                                                                                                                                                                                      0D Collection of Parameter                          0d collection of parameter                          NN NN IN NN                   
326    bpsim.impl.ParameterValue                                                                                                                                                                                 0D Collection of ParameterValue                     0d collection of ParameterValue                     NN NN IN NNP                  
327    bpsim.impl.PoissonDistributionType                                                                                                                                                                        0D Collection of PoissonDistributionType            0d collection of poissondistributiontype            NN NN IN NN                   
328    bpsim.impl.PriorityParameters                                                                                                                                                                             0D Collection of PriorityParameters                 0d collection of priorityparameter                  NN NN IN NNS                  
329    bpsim.impl.PropertyParameters                                                                                                                                                                             0D Collection of PropertyParameters                 0d collection of PropertyParameters                 NN NN IN NNP                  
330    bpsim.impl.PropertyType                                                                                                                                                                                   0D Collection of PropertyType                       0d collection of PropertyType                       NN NN IN NNP                  
331    bpsim.impl.ResourceParameters                                                                                                                                                                             0D Collection of ResourceParameters                 0d collection of resourceparameter                  NN NN IN NNS                  
332    bpsim.impl.ResultType                                                                                                                                                                                     0D Collection of ResultType                         0d collection of resulttype                         NN NN IN NN                   
333    org.eclipse.emf.ecore.EDataType                                                                                                                                                                           0D Collection of EDataType                          0d collection of edatatype                          NN NN IN NN                   
334    bpsim.impl.Scenario                                                                                                                                                                                       0D Collection of Scenario                           0d collection of scenario                           NN NN IN NN                   
335    bpsim.impl.ScenarioParameters                                                                                                                                                                             0D Collection of ScenarioParameters                 0d collection of scenarioparameter                  NN NN IN NNS                  
336    bpsim.impl.ScenarioParametersType                                                                                                                                                                         0D Collection of ScenarioParametersType             0d collection of scenarioparameterstype             NN NN IN NN                   
337    bpsim.impl.StringParameterType                                                                                                                                                                            0D Collection of StringParameterType                0d collection of StringParameterType                NN NN IN NNP                  
338    bpsim.impl.TimeParameters                                                                                                                                                                                 0D Collection of TimeParameters                     0d collection of timeparameter                      NN NN IN NNS                  
339    bpsim.impl.TimeUnit                                                                                                                                                                                       0D Collection of TimeUnit                           0d collection of TimeUnit                           NN NN IN NNP                  
340    bpsim.impl.TriangularDistributionType                                                                                                                                                                     0D Collection of TriangularDistributionType         0d collection of triangulardistributiontype         NN NN IN NN                   
341    bpsim.impl.TruncatedNormalDistributionType                                                                                                                                                                0D Collection of TruncatedNormalDistributionType    0d collection of truncatednormaldistributiontype    NN NN IN NN                   
342    bpsim.impl.UniformDistributionType                                                                                                                                                                        0D Collection of UniformDistributionType            0d collection of UniformDistributionType            NN NN IN NNP                  
343    bpsim.impl.UserDistributionDataPointType                                                                                                                                                                  0D Collection of UserDistributionDataPointType      0d collection of UserDistributionDataPointType      NN NN IN NNP                  
344    bpsim.impl.UserDistributionType                                                                                                                                                                           0D Collection of UserDistributionType               0d collection of UserDistributionType               NN NN IN NNP                  
345    bpsim.impl.VendorExtension                                                                                                                                                                                0D Collection of VendorExtension                    0d collection of VendorExtension                    NN NN IN NNP                  
346    bpsim.impl.WeibullDistributionType                                                                                                                                                                        0D Collection of WeibullDistributionType            0d collection of WeibullDistributionType            NN NN IN NNP                  
347    org.eclipse.emf.ecore.EObject                                                                                                                                                                             0D Collection of EObject                            0d collection of eobject                            NN NN IN NN                   
348    bpsim.BpsimFactory                                                                                                                                                                                        0D Collection of BpsimFactory                       0d collection of BpsimFactory                       NN NN IN NNP                  
349    bpsim.BpsimPackage                                                                                                                                                                                        0D Collection of BpsimPackage                       0d collection of BpsimPackage                       NN NN IN NNP                  
350    org.eclipse.emf.ecore.EAttribute                                                                                                                                                                          0D Collection of EAttribute                         0d collection of eattribute                         NN NN IN NN                   
351    org.eclipse.emf.ecore.EReference                                                                                                                                                                          0D Collection of EReference                         0d collection of ereference                         NN NN IN NN                   
352    bpsim.Parameter                                                                                                                                                                                           0D Collection of Parameter                          0d collection of parameter                          NN NN IN NN                   
353    bpsim.TimeUnit                                                                                                                                                                                            0D Collection of TimeUnit                           0d collection of TimeUnit                           NN NN IN NNP                  
354    bpsim.BPSimDataType                                                                                                                                                                                       0D Collection of BPSimDataType                      0d collection of bpsimdatatype                      NN NN IN NN                   
355    bpsim.BetaDistributionType                                                                                                                                                                                0D Collection of BetaDistributionType               0d collection of BetaDistributionType               NN NN IN NNP                  
356    bpsim.BinomialDistributionType                                                                                                                                                                            0D Collection of BinomialDistributionType           0d collection of BinomialDistributionType           NN NN IN NNP                  
357    bpsim.BooleanParameterType                                                                                                                                                                                0D Collection of BooleanParameterType               0d collection of BooleanParameterType               NN NN IN NNP                  
358    bpsim.DateTimeParameterType                                                                                                                                                                               0D Collection of DateTimeParameterType              0d collection of datetimeparametertype              NN NN IN NN                   
359    bpsim.DurationParameterType                                                                                                                                                                               0D Collection of DurationParameterType              0d collection of DurationParameterType              NN NN IN NNP                  
360    bpsim.EnumParameterType                                                                                                                                                                                   0D Collection of EnumParameterType                  0d collection of enumparametertype                  NN NN IN NN                   
361    bpsim.ErlangDistributionType                                                                                                                                                                              0D Collection of ErlangDistributionType             0d collection of erlangdistributiontype             NN NN IN NN                   
362    bpsim.ExpressionParameterType                                                                                                                                                                             0D Collection of ExpressionParameterType            0d collection of expressionparametertype            NN NN IN NN                   
363    bpsim.FloatingParameterType                                                                                                                                                                               0D Collection of FloatingParameterType              0d collection of floatingparametertype              NN NN IN NN                   
364    bpsim.GammaDistributionType                                                                                                                                                                               0D Collection of GammaDistributionType              0d collection of GammaDistributionType              NN NN IN NNP                  
365    bpsim.LogNormalDistributionType                                                                                                                                                                           0D Collection of LogNormalDistributionType          0d collection of lognormaldistributiontype          NN NN IN NN                   
366    bpsim.NegativeExponentialDistributionType                                                                                                                                                                 0D Collection of NegativeExponentialDistributionTy  0d collection of NegativeExponentialDistributionTy  NN NN IN NNP                  
367    bpsim.NormalDistributionType                                                                                                                                                                              0D Collection of NormalDistributionType             0d collection of NormalDistributionType             NN NN IN NNP                  
368    bpsim.NumericParameterType                                                                                                                                                                                0D Collection of NumericParameterType               0d collection of numericparametertype               NN NN IN NN                   
369    bpsim.ParameterValue                                                                                                                                                                                      0D Collection of ParameterValue                     0d collection of ParameterValue                     NN NN IN NNP                  
370    bpsim.PoissonDistributionType                                                                                                                                                                             0D Collection of PoissonDistributionType            0d collection of poissondistributiontype            NN NN IN NN                   
371    bpsim.StringParameterType                                                                                                                                                                                 0D Collection of StringParameterType                0d collection of StringParameterType                NN NN IN NNP                  
372    bpsim.TriangularDistributionType                                                                                                                                                                          0D Collection of TriangularDistributionType         0d collection of triangulardistributiontype         NN NN IN NN                   
373    bpsim.TruncatedNormalDistributionType                                                                                                                                                                     0D Collection of TruncatedNormalDistributionType    0d collection of truncatednormaldistributiontype    NN NN IN NN                   
374    bpsim.UniformDistributionType                                                                                                                                                                             0D Collection of UniformDistributionType            0d collection of UniformDistributionType            NN NN IN NNP                  
375    bpsim.UserDistributionDataPointType                                                                                                                                                                       0D Collection of UserDistributionDataPointType      0d collection of UserDistributionDataPointType      NN NN IN NNP                  
376    bpsim.UserDistributionType                                                                                                                                                                                0D Collection of UserDistributionType               0d collection of UserDistributionType               NN NN IN NNP                  
377    bpsim.WeibullDistributionType                                                                                                                                                                             0D Collection of WeibullDistributionType            0d collection of WeibullDistributionType            NN NN IN NNP                  
378    bpsim.ControlParameters                                                                                                                                                                                   0D Collection of ControlParameters                  0d collection of controlparameter                   NN NN IN NNS                  
379    bpsim.CostParameters                                                                                                                                                                                      0D Collection of CostParameters                     0d collection of costparameter                      NN NN IN NNS                  
380    bpsim.PriorityParameters                                                                                                                                                                                  0D Collection of PriorityParameters                 0d collection of priorityparameter                  NN NN IN NNS                  
381    bpsim.PropertyParameters                                                                                                                                                                                  0D Collection of PropertyParameters                 0d collection of PropertyParameters                 NN NN IN NNP                  
382    bpsim.ResourceParameters                                                                                                                                                                                  0D Collection of ResourceParameters                 0d collection of resourceparameter                  NN NN IN NNS                  
383    bpsim.TimeParameters                                                                                                                                                                                      0D Collection of TimeParameters                     0d collection of timeparameter                      NN NN IN NNS                  
384    bpsim.impl.EList<bpsim.ParameterValue>                                                                                                                                                                    1D Collection of ParameterValue                     1d collection of ParameterValue                     NN NN IN NNP                  
385    org.eclipse.emf.ecore.util.FeatureMap                                                                                                                                                                     0D Collection of FeatureMap                         0d collection of FeatureMap                         NN NN IN NNP                  
386    bpsim.ResultType                                                                                                                                                                                          0D Collection of ResultType                         0d collection of resulttype                         NN NN IN NN                   
387    bpsim.ScenarioParameters                                                                                                                                                                                  0D Collection of ScenarioParameters                 0d collection of scenarioparameter                  NN NN IN NNS                  
388    bpsim.impl.EList<bpsim.UserDistributionDataPointType>                                                                                                                                                     1D Collection of UserDistributionDataPointType      1d collection of UserDistributionDataPointType      NN NN IN NNP                  
389    org.eclipse.emf.common.notify.Adapter                                                                                                                                                                     0D Collection of Adapter                            0d collection of adapter                            NN NN IN NN                   
390    bpsim.util.BPSimDataType                                                                                                                                                                                  0D Collection of BPSimDataType                      0d collection of bpsimdatatype                      NN NN IN NN                   
391    bpsim.util.BetaDistributionType                                                                                                                                                                           0D Collection of BetaDistributionType               0d collection of BetaDistributionType               NN NN IN NNP                  
392    bpsim.util.BinomialDistributionType                                                                                                                                                                       0D Collection of BinomialDistributionType           0d collection of BinomialDistributionType           NN NN IN NNP                  
393    bpsim.util.BooleanParameterType                                                                                                                                                                           0D Collection of BooleanParameterType               0d collection of BooleanParameterType               NN NN IN NNP                  
394    bpsim.util.Calendar                                                                                                                                                                                       0D Collection of Calendar                           0d collection of calendar                           NN NN IN NN                   
395    bpsim.util.ConstantParameter                                                                                                                                                                              0D Collection of ConstantParameter                  0d collection of ConstantParameter                  NN NN IN NNP                  
396    bpsim.util.ControlParameters                                                                                                                                                                              0D Collection of ControlParameters                  0d collection of controlparameter                   NN NN IN NNS                  
397    bpsim.util.CostParameters                                                                                                                                                                                 0D Collection of CostParameters                     0d collection of costparameter                      NN NN IN NNS                  
398    bpsim.util.DateTimeParameterType                                                                                                                                                                          0D Collection of DateTimeParameterType              0d collection of datetimeparametertype              NN NN IN NN                   
399    bpsim.util.DistributionParameter                                                                                                                                                                          0D Collection of DistributionParameter              0d collection of DistributionParameter              NN NN IN NNP                  
400    bpsim.util.DocumentRoot                                                                                                                                                                                   0D Collection of DocumentRoot                       0d collection of DocumentRoot                       NN NN IN NNP                  
