id     identifier                                                                                                                                                                                                simplified_identifier                               lemma                                               postag                        
49     java.util.Collection<?>                                                                                                                                                                                   1D Collection of                                    1d collection of                                    NN NN IN                      
50     java.lang.StringBuilder                                                                                                                                                                                   0D Collection of StringBuilder                      0d collection of StringBuilder                      NN NN IN NNP                  
51     byte                                                                                                                                                                                                      0D Collection of byte                               0d collection of byte                               NN NN IN NN                   
52     org.apache.commons.io.ByteOrderMark                                                                                                                                                                       0D Collection of ByteOrderMark                      0d collection of ByteOrderMark                      NN NN IN NNP                  
53     char[]                                                                                                                                                                                                    1D Array of char                                    1d array of char                                    NN NN IN NN                   
54     java.lang.Class<?>                                                                                                                                                                                        1D Collection of                                    1d collection of                                    NN NN IN                      
55     java.io.ObjectStreamClass                                                                                                                                                                                 0D Collection of ObjectStreamClass                  0d collection of ObjectStreamClass                  NN NN IN NNP                  
56     java.io.IOException                                                                                                                                                                                       0D Collection of IOException                        0d collection of ioexception                        NN NN IN NN                   
57     java.nio.CharBuffer                                                                                                                                                                                       0D Collection of CharBuffer                         0d collection of charbuffer                         NN NN IN NN                   
58     org.apache.commons.io.input.ReversedLinesFileReader.FilePart                                                                                                                                              0D Collection of FilePart                           0d collection of FilePart                           NN NN IN NNP                  
59     java.lang.Throwable                                                                                                                                                                                       0D Collection of Throwable                          0d collection of Throwable                          NN NN IN NNP                  
60     java.io.RandomAccessFile                                                                                                                                                                                  0D Collection of RandomAccessFile                   0d collection of RandomAccessFile                   NN NN IN NNP                  
61     org.apache.commons.io.input.Tailer                                                                                                                                                                        0D Collection of Tailer                             0d collection of Tailer                             NN NN IN NNP                  
62     org.apache.commons.io.input.TailerListener                                                                                                                                                                0D Collection of TailerListener                     0d collection of TailerListener                     NN NN IN NNP                  
63     java.lang.Exception                                                                                                                                                                                       0D Collection of Exception                          0d collection of exception                          NN NN IN NN                   
64     org.apache.commons.io.input.BOMInputStream                                                                                                                                                                0D Collection of BOMInputStream                     0d collection of bominputstream                     NN NN IN NN                   
65     org.apache.commons.io.input.XmlStreamReaderException                                                                                                                                                      0D Collection of XmlStreamReaderException           0d collection of xmlstreamreaderexception           NN NN IN NN                   
66     java.nio.channels.ReadableByteChannel                                                                                                                                                                     0D Collection of ReadableByteChannel                0d collection of readablebytechannel                NN NN IN NN                   
67     java.nio.ByteBuffer                                                                                                                                                                                       0D Collection of ByteBuffer                         0d collection of bytebuffer                         NN NN IN NN                   
68     java.io.BufferedInputStream                                                                                                                                                                               0D Collection of BufferedInputStream                0d collection of BufferedInputStream                NN NN IN NNP                  
69     java.io.BufferedOutputStream                                                                                                                                                                              0D Collection of BufferedOutputStream               0d collection of BufferedOutputStream               NN NN IN NNP                  
70     java.io.BufferedReader                                                                                                                                                                                    0D Collection of BufferedReader                     0d collection of BufferedReader                     NN NN IN NNP                  
71     java.io.BufferedWriter                                                                                                                                                                                    0D Collection of BufferedWriter                     0d collection of BufferedWriter                     NN NN IN NNP                  
72     java.net.URI                                                                                                                                                                                              0D Collection of URI                                0d collection of URI                                NN NN IN NNP                  
73     java.net.URLConnection                                                                                                                                                                                    0D Collection of URLConnection                      0d collection of urlconnection                      NN NN IN NN                   
74     java.io.Closeable                                                                                                                                                                                         0D Collection of Closeable                          0d collection of closeable                          NN NN IN JJ                   
75     java.io.Closeable[]                                                                                                                                                                                       1D Array of Closeable                               1d array of closeable                               NN NN IN JJ                   
76     java.net.ServerSocket                                                                                                                                                                                     0D Collection of ServerSocket                       0d collection of ServerSocket                       NN NN IN NNP                  
77     java.net.Socket                                                                                                                                                                                           0D Collection of Socket                             0d collection of socket                             NN NN IN NN                   
78     java.nio.channels.Selector                                                                                                                                                                                0D Collection of Selector                           0d collection of selector                           NN NN IN NN                   
79     java.lang.StringBuffer                                                                                                                                                                                    0D Collection of StringBuffer                       0d collection of StringBuffer                       NN NN IN NNP                  
80     org.apache.commons.io.monitor.FileAlterationObserver                                                                                                                                                      0D Collection of FileAlterationObserver             0d collection of FileAlterationObserver             NN NN IN NNP                  
81     org.apache.commons.io.monitor.FileEntry[]                                                                                                                                                                 1D Array of FileEntry                               1d array of FileEntry                               NN NN IN NNP                  
82     org.apache.commons.io.monitor.FileEntry                                                                                                                                                                   0D Collection of FileEntry                          0d collection of FileEntry                          NN NN IN NNP                  
83     org.apache.commons.io.monitor.FileAlterationListener                                                                                                                                                      0D Collection of FileAlterationListener             0d collection of FileAlterationListener             NN NN IN NNP                  
84     org.apache.commons.io.serialization.ValidatingObjectInputStream                                                                                                                                           0D Collection of ValidatingObjectInputStream        0d collection of ValidatingObjectInputStream        NN NN IN NNP                  
85     java.lang.Class<?>[]                                                                                                                                                                                      1D Array of Class                                   1d array of class                                   NN NN IN NN                   
86     java.util.regex.Pattern                                                                                                                                                                                   0D Collection of Pattern                            0d collection of pattern                            NN NN IN NN                   
87     org.apache.commons.io.serialization.ClassNameMatcher                                                                                                                                                      0D Collection of ClassNameMatcher                   0d collection of ClassNameMatcher                   NN NN IN NNP                  
88     java.lang.Thread                                                                                                                                                                                          0D Collection of Thread                             0d collection of Thread                             NN NN IN NNP                  
89     org.apache.commons.io.input.DemuxInputStream                                                                                                                                                              0D Collection of DemuxInputStream                   0d collection of DemuxInputStream                   NN NN IN NNP                  
90     org.apache.commons.io.output.DemuxOutputStream                                                                                                                                                            0D Collection of DemuxOutputStream                  0d collection of DemuxOutputStream                  NN NN IN NNP                  
91     org.apache.commons.io.CancelException                                                                                                                                                                     0D Collection of CancelException                    0d collection of cancelexception                    NN NN IN NN                   
92     java.util.List                                                                                                                                                                                            0D Collection of List                               0d collection of list                               NN NN IN NN                   
93     java.util.Collection                                                                                                                                                                                      0D Collection of Collection                         0d collection of Collection                         NN NN IN NNP                  
94     java.util.List<boolean[]>                                                                                                                                                                                 1D Array of Listboolean                             1d array of listboolean                             NN NN IN NN                   
95     java.util.List<java.lang.Boolean>                                                                                                                                                                         1D Collection of Boolean                            1d collection of Boolean                            NN NN IN NNP                  
96     java.util.List<java.util.List<org.apache.commons.io.filefilter.IOFileFilter>>                                                                                                                             2D Collection of IOFileFilter                       2d collection of iofilefilter                       NN NN IN NN                   
97     org.apache.commons.io.filefilter.ConditionalFileFilter                                                                                                                                                    0D Collection of ConditionalFileFilter              0d collection of ConditionalFileFilter              NN NN IN NNP                  
98     org.apache.commons.io.filefilter.IOFileFilterAbstractTestCase.TesterFalseFileFilter[]                                                                                                                     1D Array of TesterFalseFileFilter                   1d array of TesterFalseFileFilter                   NN NN IN NNP                  
99     boolean[]                                                                                                                                                                                                 1D Array of boolean                                 1d array of boolean                                 NN NN IN NN                   
100    org.apache.commons.io.filefilter.IOFileFilterAbstractTestCase.TesterTrueFileFilter[]                                                                                                                      1D Array of TesterTrueFileFilter                    1d array of TesterTrueFileFilter                    NN NN IN NNP                  
101    java.util.Set<java.lang.String>                                                                                                                                                                           1D Collection of String                             1d collection of String                             NN NN IN NNP                  
102    org.apache.commons.io.input.compatibility.XmlStreamReaderException                                                                                                                                        0D Collection of XmlStreamReaderException           0d collection of xmlstreamreaderexception           NN NN IN NN                   
103    java.util.Collection<java.lang.Integer[]>                                                                                                                                                                 1D Array of Integer                                 1d array of integer                                 NN NN IN NN                   
104    org.apache.commons.io.input.ReversedLinesFileReader                                                                                                                                                       0D Collection of ReversedLinesFileReader            0d collection of ReversedLinesFileReader            NN NN IN NNP                  
105    java.util.Collection<java.lang.Object[]>                                                                                                                                                                  1D Array of Object                                  1d array of Object                                  NN NN IN NNP                  
106    org.apache.commons.io.output.ByteArrayOutputStream                                                                                                                                                        0D Collection of ByteArrayOutputStream              0d collection of ByteArrayOutputStream              NN NN IN NNP                  
107    java.io.ByteArrayOutputStream                                                                                                                                                                             0D Collection of ByteArrayOutputStream              0d collection of ByteArrayOutputStream              NN NN IN NNP                  
108    int[]                                                                                                                                                                                                     1D Array of int                                     1d array of int                                     NN NN IN NN                   
109    java.util.concurrent.atomic.AtomicInteger                                                                                                                                                                 0D Collection of AtomicInteger                      0d collection of AtomicInteger                      NN NN IN NNP                  
110    java.io.OutputStreamWriter                                                                                                                                                                                0D Collection of OutputStreamWriter                 0d collection of OutputStreamWriter                 NN NN IN NNP                  
111    org.apache.commons.io.output.FileWriterWithEncoding                                                                                                                                                       0D Collection of FileWriterWithEncoding             0d collection of filewriterwithencoding             NN NN IN NN                   
112    java.io.FileWriter                                                                                                                                                                                        0D Collection of FileWriter                         0d collection of FileWriter                         NN NN IN NNP                  
113    java.nio.channels.spi.SelectorProvider                                                                                                                                                                    0D Collection of SelectorProvider                   0d collection of SelectorProvider                   NN NN IN NNP                  
