id     identifier                                          splitted_identifier                                 lemma                                               postag                FK_dtid  FK_mid
2263   attrs                                               attrs                                               attr                                                NNS                   214      2014  
2264   parser                                              parser                                              parser                                              NN                    213      2014  
2265   uri                                                 uri                                                 uri                                                 NN                    4        2013  
2266   localName                                           local name                                          local name                                          JJ NN                 4        2013  
2267   parser                                              parser                                              parser                                              NN                    213      2013  
2268   uri                                                 uri                                                 uri                                                 NN                    4        2014  
2269   localName                                           local name                                          local name                                          JJ NN                 4        2014  
2270   attrs                                               attrs                                               attr                                                NNS                   214      2014  
2271   parser                                              parser                                              parser                                              NN                    213      2014  
2272   uri                                                 uri                                                 uri                                                 NN                    4        2013  
2273   localName                                           local name                                          local name                                          JJ NN                 4        2013  
2274   parser                                              parser                                              parser                                              NN                    213      2013  
2275   uri                                                 uri                                                 uri                                                 NN                    4        2014  
2276   localName                                           local name                                          local name                                          JJ NN                 4        2014  
2277   attrs                                               attrs                                               attr                                                NNS                   214      2014  
2278   parser                                              parser                                              parser                                              NN                    213      2014  
2279   nodeContainer                                       node container                                      node container                                      NN NN                 226      2045  
2280   interfaces                                          interfaces                                          interface                                           NNS                   227      2045  
2281   nodeContainer                                       node container                                      node container                                      NN NN                 226      2046  
2282   itemDefinitions                                     item definitions                                    item definition                                     NN NNS                216      2046  
2283   cl                                                  cl                                                  cl                                                  NN                    217      2046  
2284   variable                                            variable                                            variable                                            JJ                    228      2047  
2285   itemDefinitions                                     item definitions                                    item definition                                     NN NNS                216      2047  
2286   cl                                                  cl                                                  cl                                                  NN                    217      2047  
2287   container                                           container                                           container                                           NN                    229      2048  
2288   itemDefinitions                                     item definitions                                    item definition                                     NN NNS                216      2048  
2289   cl                                                  cl                                                  cl                                                  NN                    217      2048  
2290   uri                                                 uri                                                 uri                                                 NN                    4        2013  
2291   localName                                           local name                                          local name                                          JJ NN                 4        2013  
2292   parser                                              parser                                              parser                                              NN                    213      2013  
2293   uri                                                 uri                                                 uri                                                 NN                    4        2014  
2294   localName                                           local name                                          local name                                          JJ NN                 4        2014  
2295   attrs                                               attrs                                               attr                                                NNS                   214      2014  
2296   parser                                              parser                                              parser                                              NN                    213      2014  
2297   connectionInfo                                      connection info                                     connection info                                     NN NN                 230      2049  
2298   nodeInfo                                            node info                                           node info                                           NN NN                 231      2050  
2299   connectionInfo                                      connection info                                     connection info                                     NN NN                 230      2051  
2300   nodes                                               nodes                                               node                                                NNS                   232      2051  
2301   nodeInfo                                            node info                                           node info                                           NN NN                 231      2052  
2302   nodes                                               nodes                                               node                                                NNS                   232      2052  
2303   uri                                                 uri                                                 uri                                                 NN                    4        2013  
2304   localName                                           local name                                          local name                                          JJ NN                 4        2013  
2305   parser                                              parser                                              parser                                              NN                    213      2013  
2306   uri                                                 uri                                                 uri                                                 NN                    4        2014  
2307   localName                                           local name                                          local name                                          JJ NN                 4        2014  
2308   attrs                                               attrs                                               attr                                                NNS                   214      2014  
2309   parser                                              parser                                              parser                                              NN                    213      2014  
2310   nodes                                               nodes                                               node                                                NNS                   232      2053  
2311   xOffset                                             x offset                                            x offset                                            CC VBN                3        2053  
2312   yOffset                                             y offset                                            y offset                                            NN VBD                3        2053  
2313   uri                                                 uri                                                 uri                                                 NN                    4        2013  
2314   localName                                           local name                                          local name                                          JJ NN                 4        2013  
2315   parser                                              parser                                              parser                                              NN                    213      2013  
2316   uri                                                 uri                                                 uri                                                 NN                    4        2014  
2317   localName                                           local name                                          local name                                          JJ NN                 4        2014  
2318   attrs                                               attrs                                               attr                                                NNS                   214      2014  
2319   parser                                              parser                                              parser                                              NN                    213      2014  
2320   uri                                                 uri                                                 uri                                                 NN                    4        2013  
2321   localName                                           local name                                          local name                                          JJ NN                 4        2013  
2322   parser                                              parser                                              parser                                              NN                    213      2013  
2323   uri                                                 uri                                                 uri                                                 NN                    4        2014  
2324   localName                                           local name                                          local name                                          JJ NN                 4        2014  
2325   attrs                                               attrs                                               attr                                                NNS                   214      2014  
2326   parser                                              parser                                              parser                                              NN                    213      2014  
2327   uri                                                 uri                                                 uri                                                 NN                    4        2013  
2328   localName                                           local name                                          local name                                          JJ NN                 4        2013  
2329   parser                                              parser                                              parser                                              NN                    213      2013  
2330   attrs                                               attrs                                               attr                                                NNS                   214      2022  
2331   node                                                node                                                node                                                NN                    212      2054  
2332   element                                             element                                             element                                             NN                    219      2054  
2333   uri                                                 uri                                                 uri                                                 NN                    4        2054  
2334   localName                                           local name                                          local name                                          JJ NN                 4        2054  
2335   parser                                              parser                                              parser                                              NN                    213      2054  
2336   node                                                node                                                node                                                NN                    212      2055  
2337   element                                             element                                             element                                             NN                    219      2055  
2338   uri                                                 uri                                                 uri                                                 NN                    4        2055  
2339   localName                                           local name                                          local name                                          JJ NN                 4        2055  
2340   parser                                              parser                                              parser                                              NN                    213      2055  
2341   node                                                node                                                node                                                NN                    212      2056  
2342   element                                             element                                             element                                             NN                    219      2056  
2343   uri                                                 uri                                                 uri                                                 NN                    4        2056  
2344   localName                                           local name                                          local name                                          JJ NN                 4        2056  
2345   parser                                              parser                                              parser                                              NN                    213      2056  
2346   node                                                node                                                node                                                NN                    212      2057  
2347   element                                             element                                             element                                             NN                    219      2057  
2348   uri                                                 uri                                                 uri                                                 NN                    4        2057  
2349   localName                                           local name                                          local name                                          JJ NN                 4        2057  
2350   parser                                              parser                                              parser                                              NN                    213      2057  
2351   node                                                node                                                node                                                NN                    212      2058  
2352   element                                             element                                             element                                             NN                    219      2058  
2353   uri                                                 uri                                                 uri                                                 NN                    4        2058  
2354   localName                                           local name                                          local name                                          JJ NN                 4        2058  
2355   parser                                              parser                                              parser                                              NN                    213      2058  
2356   xmlNode                                             xml node                                            xml node                                            NN NN                 220      2059  
2357   endNode                                             end node                                            end node                                            NN NN                 233      2059  
2358   xmlNode                                             xml node                                            xml node                                            NN NN                 220      2060  
2359   faultNode                                           fault node                                          fault node                                          NN NN                 234      2060  
2360   node                                                node                                                node                                                NN                    212      2023  
2361   xmlDump                                             xml dump                                            xml dump                                            NN NN                 50       2023  
2362   metaDataType                                        meta data type                                      meta datum type                                     NN NNS NN             3        2023  
2363   attrs                                               attrs                                               attr                                                NNS                   214      2022  
2364   node                                                node                                                node                                                NN                    212      2023  
2365   xmlDump                                             xml dump                                            xml dump                                            NN NN                 50       2023  
2366   metaDataType                                        meta data type                                      meta datum type                                     NN NNS NN             3        2023  
2367   uri                                                 uri                                                 uri                                                 NN                    4        2013  
2368   localName                                           local name                                          local name                                          JJ NN                 4        2013  
2369   parser                                              parser                                              parser                                              NN                    213      2013  
2370   uri                                                 uri                                                 uri                                                 NN                    4        2014  
2371   localName                                           local name                                          local name                                          JJ NN                 4        2014  
2372   attrs                                               attrs                                               attr                                                NNS                   214      2014  
2373   parser                                              parser                                              parser                                              NN                    213      2014  
2374   uri                                                 uri                                                 uri                                                 NN                    4        2013  
2375   localName                                           local name                                          local name                                          JJ NN                 4        2013  
2376   parser                                              parser                                              parser                                              NN                    213      2013  
2377   uri                                                 uri                                                 uri                                                 NN                    4        2014  
2378   localName                                           local name                                          local name                                          JJ NN                 4        2014  
2379   attrs                                               attrs                                               attr                                                NNS                   214      2014  
2380   parser                                              parser                                              parser                                              NN                    213      2014  
2381   attrs                                               attrs                                               attr                                                NNS                   214      2022  
2382   node                                                node                                                node                                                NN                    212      2023  
2383   xmlDump                                             xml dump                                            xml dump                                            NN NN                 50       2023  
2384   metaDataType                                        meta data type                                      meta datum type                                     NN NNS NN             3        2023  
2385   attrs                                               attrs                                               attr                                                NNS                   214      2022  
2386   node                                                node                                                node                                                NN                    212      2023  
2387   xmlDump                                             xml dump                                            xml dump                                            NN NN                 50       2023  
2388   metaDataType                                        meta data type                                      meta datum type                                     NN NNS NN             3        2023  
2389   attrs                                               attrs                                               attr                                                NNS                   214      2022  
2390   node                                                node                                                node                                                NN                    212      2023  
2391   xmlDump                                             xml dump                                            xml dump                                            NN NN                 50       2023  
2392   metaDataType                                        meta data type                                      meta datum type                                     NN NNS NN             3        2023  
2393   attrs                                               attrs                                               attr                                                NNS                   214      2022  
2394   node                                                node                                                node                                                NN                    212      2023  
2395   xmlDump                                             xml dump                                            xml dump                                            NN NN                 50       2023  
2396   metaDataType                                        meta data type                                      meta datum type                                     NN NNS NN             3        2023  
2397   forEachNode                                         for each node                                       for each node                                       IN DT NN              235      2061  
2398   attrs                                               attrs                                               attr                                                NNS                   214      2022  
2399   node                                                node                                                node                                                NN                    212      2023  
2400   xmlDump                                             xml dump                                            xml dump                                            NN NN                 50       2023  
2401   metaDataType                                        meta data type                                      meta datum type                                     NN NNS NN             3        2023  
2402   uri                                                 uri                                                 uri                                                 NN                    4        2013  
2403   localName                                           local name                                          local name                                          JJ NN                 4        2013  
2404   parser                                              parser                                              parser                                              NN                    213      2013  
2405   uri                                                 uri                                                 uri                                                 NN                    4        2014  
2406   localName                                           local name                                          local name                                          JJ NN                 4        2014  
2407   attrs                                               attrs                                               attr                                                NNS                   214      2014  
2408   parser                                              parser                                              parser                                              NN                    213      2014  
2409   uri                                                 uri                                                 uri                                                 NN                    4        2013  
2410   localName                                           local name                                          local name                                          JJ NN                 4        2013  
2411   parser                                              parser                                              parser                                              NN                    213      2013  
2412   uri                                                 uri                                                 uri                                                 NN                    4        2014  
2413   localName                                           local name                                          local name                                          JJ NN                 4        2014  
2414   attrs                                               attrs                                               attr                                                NNS                   214      2014  
2415   parser                                              parser                                              parser                                              NN                    213      2014  
2416   attrs                                               attrs                                               attr                                                NNS                   214      2022  
2417   node                                                node                                                node                                                NN                    212      2023  
2418   xmlDump                                             xml dump                                            xml dump                                            NN NN                 50       2023  
2419   metaDataType                                        meta data type                                      meta datum type                                     NN NNS NN             3        2023  
2420   uri                                                 uri                                                 uri                                                 NN                    4        2013  
2421   localName                                           local name                                          local name                                          JJ NN                 4        2013  
2422   parser                                              parser                                              parser                                              NN                    213      2013  
2423   uri                                                 uri                                                 uri                                                 NN                    4        2014  
2424   localName                                           local name                                          local name                                          JJ NN                 4        2014  
2425   attrs                                               attrs                                               attr                                                NNS                   214      2014  
2426   parser                                              parser                                              parser                                              NN                    213      2014  
2427   uri                                                 uri                                                 uri                                                 NN                    4        2013  
2428   localName                                           local name                                          local name                                          JJ NN                 4        2013  
2429   parser                                              parser                                              parser                                              NN                    213      2013  
2430   uri                                                 uri                                                 uri                                                 NN                    4        2014  
2431   localName                                           local name                                          local name                                          JJ NN                 4        2014  
2432   attrs                                               attrs                                               attr                                                NNS                   214      2014  
2433   parser                                              parser                                              parser                                              NN                    213      2014  
2434   uri                                                 uri                                                 uri                                                 NN                    4        2013  
2435   localName                                           local name                                          local name                                          JJ NN                 4        2013  
2436   parser                                              parser                                              parser                                              NN                    213      2013  
2437   attrs                                               attrs                                               attr                                                NNS                   214      2022  
2438   element                                             element                                             element                                             NN                    219      2062  
2439   node                                                node                                                node                                                NN                    212      2062  
2440   xmlLinkNode                                         xml link node                                       xml link node                                       NN NN NN              220      2062  
2441   parser                                              parser                                              parser                                              NN                    213      2062  
2442   node                                                node                                                node                                                NN                    212      2056  
2443   element                                             element                                             element                                             NN                    219      2056  
2444   uri                                                 uri                                                 uri                                                 NN                    4        2056  
2445   localName                                           local name                                          local name                                          JJ NN                 4        2056  
2446   parser                                              parser                                              parser                                              NN                    213      2056  
2447   node                                                node                                                node                                                NN                    212      2057  
2448   element                                             element                                             element                                             NN                    219      2057  
2449   uri                                                 uri                                                 uri                                                 NN                    4        2057  
2450   localName                                           local name                                          local name                                          JJ NN                 4        2057  
2451   parser                                              parser                                              parser                                              NN                    213      2057  
2452   node                                                node                                                node                                                NN                    212      2063  
2453   element                                             element                                             element                                             NN                    219      2063  
2454   uri                                                 uri                                                 uri                                                 NN                    4        2063  
2455   localName                                           local name                                          local name                                          JJ NN                 4        2063  
2456   parser                                              parser                                              parser                                              NN                    213      2063  
2457   node                                                node                                                node                                                NN                    212      2064  
2458   element                                             element                                             element                                             NN                    219      2064  
2459   uri                                                 uri                                                 uri                                                 NN                    4        2064  
2460   localName                                           local name                                          local name                                          JJ NN                 4        2064  
2461   parser                                              parser                                              parser                                              NN                    213      2064  
2462   xmlNode                                             xml node                                            xml node                                            NN NN                 220      2033  
2463   eventNode                                           event node                                          event node                                          NN NN                 221      2033  
2464   node                                                node                                                node                                                NN                    212      2023  
2465   xmlDump                                             xml dump                                            xml dump                                            NN NN                 50       2023  
2466   metaDataType                                        meta data type                                      meta datum type                                     NN NNS NN             3        2023  
2467   uri                                                 uri                                                 uri                                                 NN                    4        2013  
2468   localName                                           local name                                          local name                                          JJ NN                 4        2013  
2469   parser                                              parser                                              parser                                              NN                    213      2013  
2470   attrs                                               attrs                                               attr                                                NNS                   214      2022  
2471   node                                                node                                                node                                                NN                    212      2055  
2472   element                                             element                                             element                                             NN                    219      2055  
2473   uri                                                 uri                                                 uri                                                 NN                    4        2055  
2474   localName                                           local name                                          local name                                          JJ NN                 4        2055  
2475   parser                                              parser                                              parser                                              NN                    213      2055  
2476   element                                             element                                             element                                             NN                    219      2062  
2477   node                                                node                                                node                                                NN                    212      2062  
2478   xmlLinkNode                                         xml link node                                       xml link node                                       NN NN NN              220      2062  
2479   parser                                              parser                                              parser                                              NN                    213      2062  
2480   node                                                node                                                node                                                NN                    212      2056  
2481   element                                             element                                             element                                             NN                    219      2056  
2482   uri                                                 uri                                                 uri                                                 NN                    4        2056  
2483   localName                                           local name                                          local name                                          JJ NN                 4        2056  
2484   parser                                              parser                                              parser                                              NN                    213      2056  
2485   node                                                node                                                node                                                NN                    212      2057  
2486   element                                             element                                             element                                             NN                    219      2057  
