id     identifier                                          splitted_identifier                                 lemma                                               postag                FK_dtid  FK_mid
125    value                                               value                                               value                                               NN                    19       62    
126    data                                                data                                                datum                                               NNS                   5        63    
127    offset                                              offset                                              offset                                              VBN                   3        63    
128    value                                               value                                               value                                               NN                    3        63    
129    output                                              output                                              output                                              NN                    12       64    
130    value                                               value                                               value                                               NN                    3        64    
131    data                                                data                                                datum                                               NNS                   5        65    
132    offset                                              offset                                              offset                                              VBN                   3        65    
133    value                                               value                                               value                                               NN                    20       65    
134    output                                              output                                              output                                              NN                    12       66    
135    value                                               value                                               value                                               NN                    20       66    
136    data                                                data                                                datum                                               NNS                   5        67    
137    offset                                              offset                                              offset                                              VBN                   3        67    
138    value                                               value                                               value                                               NN                    21       67    
139    output                                              output                                              output                                              NN                    12       68    
140    value                                               value                                               value                                               NN                    21       68    
141    file                                                file                                                file                                                NN                    10       72    
142    marker                                              marker                                              marker                                              NN                    2        72    
143    file                                                file                                                file                                                NN                    10       73    
144    marker                                              marker                                              marker                                              NN                    2        73    
145    deleteStrategy                                      delete strategy                                     delete strategy                                     VB NN                 23       73    
146    path                                                path                                                path                                                NN                    4        74    
147    marker                                              marker                                              marker                                              NN                    2        74    
148    path                                                path                                                path                                                NN                    4        75    
149    marker                                              marker                                              marker                                              NN                    2        75    
150    deleteStrategy                                      delete strategy                                     delete strategy                                     VB NN                 23       75    
151    path                                                path                                                path                                                NN                    4        78    
152    marker                                              marker                                              marker                                              NN                    2        78    
153    deleteStrategy                                      delete strategy                                     delete strategy                                     VB NN                 23       78    
154    file                                                file                                                file                                                NN                    10       72    
155    marker                                              marker                                              marker                                              NN                    2        72    
156    file                                                file                                                file                                                NN                    10       73    
157    marker                                              marker                                              marker                                              NN                    2        73    
158    deleteStrategy                                      delete strategy                                     delete strategy                                     VB NN                 23       73    
159    path                                                path                                                path                                                NN                    4        74    
160    marker                                              marker                                              marker                                              NN                    2        74    
161    path                                                path                                                path                                                NN                    4        75    
162    marker                                              marker                                              marker                                              NN                    2        75    
163    deleteStrategy                                      delete strategy                                     delete strategy                                     VB NN                 23       75    
164    fileToDelete                                        file to delete                                      file to delete                                      NN TO VB              10       79    
165    fileToDelete                                        file to delete                                      file to delete                                      NN TO VB              10       80    
166    fileToDelete                                        file to delete                                      file to delete                                      NN TO VB              10       79    
167    fileToDelete                                        file to delete                                      file to delete                                      NN TO VB              10       81    
168    file                                                file                                                file                                                NN                    10       82    
169    dir                                                 dir                                                 dir                                                 NN                    10       83    
170    name                                                name                                                name                                                NN                    4        83    
171    file                                                file                                                file                                                NN                    10       82    
172    file                                                file                                                file                                                NN                    10       82    
173    file                                                file                                                file                                                NN                    10       83    
174    name                                                name                                                name                                                NN                    4        83    
175    ioFileFilter                                        io file filter                                      io file filter                                      NN NN NN              24       84    
176    ioFileFilter                                        io file filter                                      io file filter                                      NN NN NN              24       86    
177    fileFilters                                         file filters                                        file filter                                         NN NNS                25       87    
178    file                                                file                                                file                                                NN                    10       82    
179    file                                                file                                                file                                                NN                    10       82    
180    file                                                file                                                file                                                NN                    10       82    
181    dir                                                 dir                                                 dir                                                 NN                    10       83    
182    name                                                name                                                name                                                NN                    4        83    
183    file                                                file                                                file                                                NN                    10       82    
184    file                                                file                                                file                                                NN                    10       82    
185    file                                                file                                                file                                                NN                    10       82    
186    dir                                                 dir                                                 dir                                                 NN                    10       83    
187    name                                                name                                                name                                                NN                    4        83    
188    file                                                file                                                file                                                NN                    10       82    
189    filter                                              filter                                              filter                                              NN                    24       88    
190    files                                               files                                               file                                                NNS                   27       88    
191    acceptedFiles                                       accepted files                                      accept file                                         VBN NNS               26       88    
192    filter                                              filter                                              filter                                              NN                    24       89    
