id     signature                                                                                             identifier                                                                                            splitted_identifier                                                                                   lemma                                               posta  FK_dt
52     long readSwappedLong(java.io.InputStream)                                                             readSwappedLong                                                                                       read swapped long                                                                                     read swap long                                      VB VB  20   
53     long readSwappedUnsignedInteger(byte[],int)                                                           readSwappedUnsignedInteger                                                                            read swapped unsigned integer                                                                         read swap unsigned integer                          VB VB  20   
54     long readSwappedUnsignedInteger(java.io.InputStream)                                                  readSwappedUnsignedInteger                                                                            read swapped unsigned integer                                                                         read swap unsigned integer                          VB VB  20   
55     long swapLong(long)                                                                                   swapLong                                                                                              swap long                                                                                             swap long                                           NN RB  20   
56     short readSwappedShort(byte[],int)                                                                    readSwappedShort                                                                                      read swapped short                                                                                    read swap short                                     VB VB  21   
57     short readSwappedShort(java.io.InputStream)                                                           readSwappedShort                                                                                      read swapped short                                                                                    read swap short                                     VB VB  21   
58     short swapShort(short)                                                                                swapShort                                                                                             swap short                                                                                            swap short                                          NN JJ  21   
59     void writeSwappedDouble(byte[],int,double)                                                            writeSwappedDouble                                                                                    write swapped double                                                                                  write swap double                                   VB VB  15   
60     void writeSwappedDouble(java.io.OutputStream,double)                                                  writeSwappedDouble                                                                                    write swapped double                                                                                  write swap double                                   VB VB  15   
61     void writeSwappedFloat(byte[],int,float)                                                              writeSwappedFloat                                                                                     write swapped float                                                                                   write swap float                                    VB VB  15   
62     void writeSwappedFloat(java.io.OutputStream,float)                                                    writeSwappedFloat                                                                                     write swapped float                                                                                   write swap float                                    VB VB  15   
63     void writeSwappedInteger(byte[],int,int)                                                              writeSwappedInteger                                                                                   write swapped integer                                                                                 write swap integer                                  VB VB  15   
64     void writeSwappedInteger(java.io.OutputStream,int)                                                    writeSwappedInteger                                                                                   write swapped integer                                                                                 write swap integer                                  VB VB  15   
65     void writeSwappedLong(byte[],int,long)                                                                writeSwappedLong                                                                                      write swapped long                                                                                    write swap long                                     VB VB  15   
66     void writeSwappedLong(java.io.OutputStream,long)                                                      writeSwappedLong                                                                                      write swapped long                                                                                    write swap long                                     VB VB  15   
67     void writeSwappedShort(byte[],int,short)                                                              writeSwappedShort                                                                                     write swapped short                                                                                   write swap short                                    VB VB  15   
68     void writeSwappedShort(java.io.OutputStream,short)                                                    writeSwappedShort                                                                                     write swapped short                                                                                   write swap short                                    VB VB  15   
69     int getTrackCount()                                                                                   getTrackCount                                                                                         get track count                                                                                       get track count                                     VB NN  3    
70     org.apache.commons.io.FileCleaningTracker getInstance()                                               getInstance                                                                                           get instance                                                                                          get instance                                        VB NN  22   
71     void exitWhenFinished()                                                                               exitWhenFinished                                                                                      exit when finished                                                                                    exit when finish                                    NN WR  15   
72     void track(java.io.File,java.lang.Object)                                                             track                                                                                                 track                                                                                                 track                                               NN     15   
73     void track(java.io.File,java.lang.Object,org.apache.commons.io.FileDeleteStrategy)                    track                                                                                                 track                                                                                                 track                                               NN     15   
74     void track(java.lang.String,java.lang.Object)                                                         track                                                                                                 track                                                                                                 track                                               NN     15   
75     void track(java.lang.String,java.lang.Object,org.apache.commons.io.FileDeleteStrategy)                track                                                                                                 track                                                                                                 track                                               NN     15   
76     void run()                                                                                            run                                                                                                   run                                                                                                   run                                                 NN     15   
77     boolean delete()                                                                                      delete                                                                                                delete                                                                                                delete                                              VB     1    
78     void addTracker(java.lang.String,java.lang.Object,org.apache.commons.io.FileDeleteStrategy)           addTracker                                                                                            add tracker                                                                                           add tracker                                         VB NN  15   
79     boolean doDelete(java.io.File)                                                                        doDelete                                                                                              do delete                                                                                             do delete                                           VB VB  1    
80     boolean deleteQuietly(java.io.File)                                                                   deleteQuietly                                                                                         delete quietly                                                                                        delete quietly                                      VB RB  1    
81     void delete(java.io.File)                                                                             delete                                                                                                delete                                                                                                delete                                              VB     15   
82     boolean accept(java.io.File)                                                                          accept                                                                                                accept                                                                                                accept                                              VB     1    
83     boolean accept(java.io.File,java.lang.String)                                                         accept                                                                                                accept                                                                                                accept                                              VB     1    
84     boolean removeFileFilter(org.apache.commons.io.filefilter.IOFileFilter)                               removeFileFilter                                                                                      remove file filter                                                                                    remove file filter                                  VB NN  1    
85     java.util.List getFileFilters()                                                                       getFileFilters                                                                                        get file filters                                                                                      get file filter                                     VB VB  25   
86     void addFileFilter(org.apache.commons.io.filefilter.IOFileFilter)                                     addFileFilter                                                                                         add file filter                                                                                       add file filter                                     VB NN  15   
87     void setFileFilters(java.util.List)                                                                   setFileFilters                                                                                        set file filters                                                                                      set file filter                                     VBN N  15   
88     <T extends java.util.Collection> T filter(org.apache.commons.io.filefilter.IOFileFilter,java.lang.It  filter                                                                                                filter                                                                                                filter                                              NN     26   
89     java.lang.reflect.Array filter(org.apache.commons.io.filefilter.IOFileFilter,java.io.File[])          filter                                                                                                filter                                                                                                filter                                              NN     8    
90     java.lang.reflect.Array filter(org.apache.commons.io.filefilter.IOFileFilter,java.lang.Iterable)      filter                                                                                                filter                                                                                                filter                                              NN     8    
91     java.util.List filterList(org.apache.commons.io.filefilter.IOFileFilter,java.io.File[])               filterList                                                                                            filter list                                                                                           filter list                                         NN NN  9    
92     java.util.List filterList(org.apache.commons.io.filefilter.IOFileFilter,java.lang.Iterable)           filterList                                                                                            filter list                                                                                           filter list                                         NN NN  9    
93     java.util.List toList(org.apache.commons.io.filefilter.IOFileFilter[])                                toList                                                                                                to list                                                                                               to list                                             TO NN  25   
94     java.util.Set filterSet(org.apache.commons.io.filefilter.IOFileFilter,java.io.File[])                 filterSet                                                                                             filter set                                                                                            filter set                                          NN NN  29   
95     java.util.Set filterSet(org.apache.commons.io.filefilter.IOFileFilter,java.lang.Iterable)             filterSet                                                                                             filter set                                                                                            filter set                                          NN NN  29   
96     org.apache.commons.io.filefilter.IOFileFilter ageFileFilter(java.io.File)                             ageFileFilter                                                                                         age file filter                                                                                       age file filter                                     NN NN  24   
97     org.apache.commons.io.filefilter.IOFileFilter ageFileFilter(java.io.File,boolean)                     ageFileFilter                                                                                         age file filter                                                                                       age file filter                                     NN NN  24   
98     org.apache.commons.io.filefilter.IOFileFilter ageFileFilter(java.util.Date)                           ageFileFilter                                                                                         age file filter                                                                                       age file filter                                     NN NN  24   
99     org.apache.commons.io.filefilter.IOFileFilter ageFileFilter(java.util.Date,boolean)                   ageFileFilter                                                                                         age file filter                                                                                       age file filter                                     NN NN  24   
100    org.apache.commons.io.filefilter.IOFileFilter ageFileFilter(long)                                     ageFileFilter                                                                                         age file filter                                                                                       age file filter                                     NN NN  24   
101    org.apache.commons.io.filefilter.IOFileFilter ageFileFilter(long,boolean)                             ageFileFilter                                                                                         age file filter                                                                                       age file filter                                     NN NN  24   
102    org.apache.commons.io.filefilter.IOFileFilter and(org.apache.commons.io.filefilter.IOFileFilter[])    and                                                                                                   and                                                                                                   and                                                 CC     24   
103    org.apache.commons.io.filefilter.IOFileFilter andFileFilter(org.apache.commons.io.filefilter.IOFileF  andFileFilter                                                                                         and file filter                                                                                       and file filter                                     CC VB  24   
