text                            lemma                           postag   data_type                                         
build                           build                           VB       void                                              
get                             get                             VB       ActionBuilder                                     
action                          action                          NN       ActionBuilder                                     
builder                         builder                         NN       ActionBuilder                                     
get                             get                             VB       AssignmentBuilder                                 
assignment                      assignment                      NN       AssignmentBuilder                                 
builder                         builder                         NN       AssignmentBuilder                                 
get                             get                             VB       ProcessClassBuilder                               
process                         process                         NN       ProcessClassBuilder                               
class                           class                           NN       ProcessClassBuilder                               
builder                         builder                         NN       ProcessClassBuilder                               
get                             get                             VB       ReturnValueEvaluatorBuilder                       
return                          return                          NN       ReturnValueEvaluatorBuilder                       
value                           value                           NN       ReturnValueEvaluatorBuilder                       
evaluator                       evaluator                       NN       ReturnValueEvaluatorBuilder                       
builder                         builder                         NN       ReturnValueEvaluatorBuilder                       
persistence                     persistence                     NN       Collection of Object                              
agenda                          agenda                          NN       void                                              
group                           group                           NN       void                                              
popped                          pop                             VBD      void                                              
match                           match                           NN       void                                              
cancelled                       cancel                          VBD      void                                              
compile                         compile                         VB       Object                                            
transform                       transform                       VB       Object                                            
slurp                           slurp                           NN       String                                            
difference                      difference                      NN       int                                               
found                           find                            VBD      int                                               
skipped                         skip                            VBD      void                                              
comparison                      comparison                      NN       void                                              
compensation                    compensation                    NN       void                                              
ordered                         order                           VBN      void                                              
specific                        specific                        JJ       void                                              
get                             get                             VB       Collection of ActionDescr                         
action                          action                          NN       Collection of ActionDescr                         
descrs                          descr                           NNS      Collection of ActionDescr                         
get                             get                             VB       Collection of ReturnValueDescr                    
return                          return                          NN       Collection of ReturnValueDescr                    
value                           value                           NN       Collection of ReturnValueDescr                    
descrs                          descr                           NNS      Collection of ReturnValueDescr                    
join                            join                            VB       void                                              
execute                         execute                         VB       Object                                            
get                             get                             VB       TimerManager                                      
timer                           timer                           NN       TimerManager                                      
manager                         manager                         NN       TimerManager                                      
execute                         execute                         VB       Integer                                           
starting                        start                           VBG      void                                              
setup                           setup                           NN       PoolingDataSource                                 
pooling                         pool                            VBG      PoolingDataSource                                 
data                            datum                           NNS      PoolingDataSource                                 
source                          source                          NN       PoolingDataSource                                 
assert                          assert                          VB       boolean                                           
eval                            eval                            NN       Object                                            
build                           build                           VB       Collection of Resource                            
and                             and                             CC       Collection of Resource                            
dump                            dump                            VB       Collection of Resource                            
bpmn2                           bpmn2                           NN       Collection of Resource                            
process                         process                         NN       Collection of Resource                            
create                          create                          VB       KieBase                                           
knowledge                       knowledge                       NN       KieBase                                           
base                            base                            NN       KieBase                                           
create                          create                          VB       Environment                                       
environment                     environment                     NN       Environment                                       
restore                         restore                         VB       KieSession                                        
session                         session                         NN       KieSession                                        
restore                         restore                         VB       StatefulKnowledgeSession                          
check                           check                           VB       void                                              
throw                           throw                           VB       String                                            
exception                       exception                       NN       String                                            
hello                           hello                           UH       String                                            
validate                        validate                        VB       String                                            
get                             get                             VB       Collection of ListWorkItem                        
work                            work                            VB       Collection of ListWorkItem                        
items                           item                            NNS      Collection of ListWorkItem                        
get                             get                             VB       WorkItem                                          
work                            work                            VB       WorkItem                                          
item                            item                            NN       WorkItem                                          
insert                          insert                          NN       void                                              
knowledge                       knowledge                       NN       long                                              
session                         session                         NN       long                                              
dispose                         dispose                         VB       long                                              
load                            load                            NN       KnowledgeBase                                     
reload                          reload                          NN       StatefulKnowledgeSession                          
stateful                        stateful                        JJ       StatefulKnowledgeSession                          
knowledge                       knowledge                       NN       StatefulKnowledgeSession                          
get                             get                             VB       KieSessionConfiguration                           
knowledge                       knowledge                       NN       KieSessionConfiguration                           
session                         session                         NN       KieSessionConfiguration                           
configuration                   configuration                   NN       KieSessionConfiguration                           
find                            find                            VB       void                                              
event                           event                           NN       void                                              
support                         support                         NN       void                                              
registered                      register                        VBD      void                                              
instances                       instance                        NNS      void                                              
count                           count                           VB       void                                              
e                               e                               LS       boolean                                           
e                               e                               LS       Object                                            
e                               e                               LS       EClass                                            
static                          static                          JJ       EClass                                            
class                           class                           NN       EClass                                            
e                               e                               LS       void                                              
unset                           unset                           JJ       void                                              
scale                           scale                           NN       void                                              
get                             get                             VB       Collection of Scenario                            
scenario                        scenario                        NN       Collection of Scenario                            
e                               e                               LS       NotificationChain                                 
inverse                         inverse                         JJ       NotificationChain                                 
remove                          remove                          VB       NotificationChain                                 
create                          create                          VB       BPSimDataType                                     
bps                             bps                             NN       BPSimDataType                                     
im                              im                              NN       BPSimDataType                                     
data                            datum                           NNS      BPSimDataType                                     
type                            type                            NN       BPSimDataType                                     
create                          create                          VB       BetaDistributionType                              
beta                            beta                            NN       BetaDistributionType                              
distribution                    distribution                    NN       BetaDistributionType                              
type                            type                            NN       BetaDistributionType                              
create                          create                          VB       BinomialDistributionType                          
binomial                        binomial                        JJ       BinomialDistributionType                          
distribution                    distribution                    NN       BinomialDistributionType                          
type                            type                            NN       BinomialDistributionType                          
create                          create                          VB       BooleanParameterType                              
boolean                         boolean                         NN       BooleanParameterType                              
parameter                       parameter                       NN       BooleanParameterType                              
type                            type                            NN       BooleanParameterType                              
init                            init                            NN       BpsimFactory                                      
get                             get                             VB       BpsimPackage                                      
bpsim                           bpsim                           JJ       BpsimPackage                                      
package                         package                         NN       BpsimPackage                                      
create                          create                          VB       Calendar                                          
calendar                        calendar                        NN       Calendar                                          
create                          create                          VB       ConstantParameter                                 
constant                        constant                        JJ       ConstantParameter                                 
parameter                       parameter                       NN       ConstantParameter                                 
create                          create                          VB       ControlParameters                                 
control                         control                         NN       ControlParameters                                 
parameters                      parameter                       NNS      ControlParameters                                 
create                          create                          VB       CostParameters                                    
cost                            cost                            NN       CostParameters                                    
parameters                      parameter                       NNS      CostParameters                                    
create                          create                          VB       DateTimeParameterType                             
date                            date                            NN       DateTimeParameterType                             
time                            time                            NN       DateTimeParameterType                             
parameter                       parameter                       NN       DateTimeParameterType                             
type                            type                            NN       DateTimeParameterType                             
create                          create                          VB       DistributionParameter                             
distribution                    distribution                    NN       DistributionParameter                             
parameter                       parameter                       NN       DistributionParameter                             
create                          create                          VB       DocumentRoot                                      
document                        document                        NN       DocumentRoot                                      
root                            root                            NN       DocumentRoot                                      
create                          create                          VB       DurationParameterType                             
duration                        duration                        NN       DurationParameterType                             
parameter                       parameter                       NN       DurationParameterType                             
type                            type                            NN       DurationParameterType                             
create                          create                          VB       ElementParameters                                 
element                         element                         NN       ElementParameters                                 
parameters                      parameter                       NNS      ElementParameters                                 
create                          create                          VB       ElementParametersType                             
element                         element                         NN       ElementParametersType                             
parameters                      parameter                       NNS      ElementParametersType                             
type                            type                            NN       ElementParametersType                             
create                          create                          VB       EnumParameterType                                 
enum                            enum                            NN       EnumParameterType                                 
parameter                       parameter                       NN       EnumParameterType                                 
type                            type                            NN       EnumParameterType                                 
create                          create                          VB       ErlangDistributionType                            
erlang                          erlang                          JJ       ErlangDistributionType                            
distribution                    distribution                    NN       ErlangDistributionType                            
type                            type                            NN       ErlangDistributionType                            
create                          create                          VB       ExpressionParameterType                           
expression                      expression                      NN       ExpressionParameterType                           
parameter                       parameter                       NN       ExpressionParameterType                           
type                            type                            NN       ExpressionParameterType                           
create                          create                          VB       FloatingParameterType                             
floating                        float                           VBG      FloatingParameterType                             
parameter                       parameter                       NN       FloatingParameterType                             
type                            type                            NN       FloatingParameterType                             
create                          create                          VB       GammaDistributionType                             
gamma                           gamma                           NN       GammaDistributionType                             
distribution                    distribution                    NN       GammaDistributionType                             
type                            type                            NN       GammaDistributionType                             
create                          create                          VB       LogNormalDistributionType                         
log                             log                             NN       LogNormalDistributionType                         
normal                          normal                          JJ       LogNormalDistributionType                         
distribution                    distribution                    NN       LogNormalDistributionType                         
type                            type                            NN       LogNormalDistributionType                         
create                          create                          VB       NegativeExponentialDistributionType               
negative                        negative                        JJ       NegativeExponentialDistributionType               
exponential                     exponential                     JJ       NegativeExponentialDistributionType               
distribution                    distribution                    NN       NegativeExponentialDistributionType               
type                            type                            NN       NegativeExponentialDistributionType               
create                          create                          VB       NormalDistributionType                            
normal                          normal                          JJ       NormalDistributionType                            
distribution                    distribution                    NN       NormalDistributionType                            
type                            type                            NN       NormalDistributionType                            
create                          create                          VB       NumericParameterType                              
numeric                         numeric                         JJ       NumericParameterType                              
parameter                       parameter                       NN       NumericParameterType                              
type                            type                            NN       NumericParameterType                              
create                          create                          VB       Parameter                                         
parameter                       parameter                       NN       Parameter                                         
create                          create                          VB       ParameterValue                                    
parameter                       parameter                       NN       ParameterValue                                    
value                           value                           NN       ParameterValue                                    
create                          create                          VB       PoissonDistributionType                           
poisson                         poisson                         NN       PoissonDistributionType                           
distribution                    distribution                    NN       PoissonDistributionType                           
type                            type                            NN       PoissonDistributionType                           
create                          create                          VB       PriorityParameters                                
priority                        priority                        NN       PriorityParameters                                
parameters                      parameter                       NNS      PriorityParameters                                
create                          create                          VB       PropertyParameters                                
property                        property                        NN       PropertyParameters                                
parameters                      parameter                       NNS      PropertyParameters                                
create                          create                          VB       PropertyType                                      
property                        property                        NN       PropertyType                                      
type                            type                            NN       PropertyType                                      
create                          create                          VB       ResourceParameters                                
resource                        resource                        NN       ResourceParameters                                
parameters                      parameter                       NNS      ResourceParameters                                
create                          create                          VB       ResultType                                        
result                          result                          NN       ResultType                                        
type                            type                            NN       ResultType                                        
from                            from                            IN       ResultType                                        
string                          string                          NN       ResultType                                        
create                          create                          VB       Scenario                                          
scenario                        scenario                        NN       Scenario                                          
create                          create                          VB       ScenarioParameters                                
scenario                        scenario                        NN       ScenarioParameters                                
parameters                      parameter                       NNS      ScenarioParameters                                
create                          create                          VB       ScenarioParametersType                            
scenario                        scenario                        NN       ScenarioParametersType                            
parameters                      parameter                       NNS      ScenarioParametersType                            
type                            type                            NN       ScenarioParametersType                            
create                          create                          VB       StringParameterType                               
string                          string                          NN       StringParameterType                               
parameter                       parameter                       NN       StringParameterType                               
type                            type                            NN       StringParameterType                               
create                          create                          VB       TimeParameters                                    
time                            time                            NN       TimeParameters                                    
parameters                      parameter                       NNS      TimeParameters                                    
create                          create                          VB       TimeUnit                                          
time                            time                            NN       TimeUnit                                          
unit                            unit                            NN       TimeUnit                                          
from                            from                            IN       TimeUnit                                          
string                          string                          NN       TimeUnit                                          
create                          create                          VB       TriangularDistributionType                        
triangular                      triangular                      JJ       TriangularDistributionType                        
distribution                    distribution                    NN       TriangularDistributionType                        
type                            type                            NN       TriangularDistributionType                        
create                          create                          VB       TruncatedNormalDistributionType                   
truncated                       truncate                        VBN      TruncatedNormalDistributionType                   
normal                          normal                          JJ       TruncatedNormalDistributionType                   
distribution                    distribution                    NN       TruncatedNormalDistributionType                   
type                            type                            NN       TruncatedNormalDistributionType                   
create                          create                          VB       UniformDistributionType                           
uniform                         uniform                         JJ       UniformDistributionType                           
distribution                    distribution                    NN       UniformDistributionType                           
type                            type                            NN       UniformDistributionType                           
create                          create                          VB       UserDistributionDataPointType                     
user                            user                            NN       UserDistributionDataPointType                     
distribution                    distribution                    NN       UserDistributionDataPointType                     
data                            datum                           NNS      UserDistributionDataPointType                     
point                           point                           NN       UserDistributionDataPointType                     
type                            type                            NN       UserDistributionDataPointType                     
create                          create                          VB       UserDistributionType                              
user                            user                            NN       UserDistributionType                              
distribution                    distribution                    NN       UserDistributionType                              
type                            type                            NN       UserDistributionType                              
create                          create                          VB       VendorExtension                                   
vendor                          vendor                          NN       VendorExtension                                   
extension                       extension                       NN       VendorExtension                                   
create                          create                          VB       WeibullDistributionType                           
weibull                         weibull                         NN       WeibullDistributionType                           
distribution                    distribution                    NN       WeibullDistributionType                           
type                            type                            NN       WeibullDistributionType                           
create                          create                          VB       Object                                            
from                            from                            IN       Object                                            
create                          create                          VB       EObject                                           
get                             get                             VB       BpsimFactory                                      
bpsim                           bpsim                           FW       BpsimFactory                                      
factory                         factory                         NN       BpsimFactory                                      
init                            init                            NN       BpsimPackage                                      
get                             get                             VB       EAttribute                                        
bps                             bp                              NNS      EAttribute                                        
im                              im                              VBP      EAttribute                                        
data                            datum                           NNS      EAttribute                                        
type                            type                            NN       EAttribute                                        
group                           group                           NN       EAttribute                                        
get                             get                             VB       EReference                                        
bps                             bp                              NNS      EReference                                        
im                              im                              VBP      EReference                                        
data                            datum                           NNS      EReference                                        
type                            type                            NN       EReference                                        
scenario                        scenario                        NN       EReference                                        
basic                           basic                           JJ       NotificationChain                                 
set                             set                             NN       NotificationChain                                 
condition                       condition                       NN       NotificationChain                                 
get                             get                             VB       BPSimDataType                                     
bps                             bp                              NNS      BPSimDataType                                     
im                              im                              VBP      BPSimDataType                                     
get                             get                             VB       BetaDistributionType                              
get                             get                             VB       BinomialDistributionType                          
get                             get                             VB       BooleanParameterType                              
boolean                         boolean                         JJ       BooleanParameterType                              
get                             get                             VB       DateTimeParameterType                             
get                             get                             VB       DurationParameterType                             
get                             get                             VB       EnumParameterType                                 
enum                            enum                            FW       EnumParameterType                                 
get                             get                             VB       ErlangDistributionType                            
get                             get                             VB       ExpressionParameterType                           
get                             get                             VB       FloatingParameterType                             
get                             get                             VB       GammaDistributionType                             
get                             get                             VB       LogNormalDistributionType                         
get                             get                             VB       NegativeExponentialDistributionType               
get                             get                             VB       NormalDistributionType                            
get                             get                             VB       NumericParameterType                              
get                             get                             VB       ParameterValue                                    
get                             get                             VB       PoissonDistributionType                           
poisson                         poisson                         NNP      PoissonDistributionType                           
get                             get                             VB       StringParameterType                               
get                             get                             VB       TriangularDistributionType                        
get                             get                             VB       TruncatedNormalDistributionType                   
get                             get                             VB       UniformDistributionType                           
get                             get                             VB       UserDistributionDataPointType                     
get                             get                             VB       UserDistributionType                              
get                             get                             VB       WeibullDistributionType                           
weibull                         weibull                         JJ       WeibullDistributionType                           
get                             get                             VB       Collection of ParameterValue                      
parameter                       parameter                       NN       Collection of ParameterValue                      
value                           value                           NN       Collection of ParameterValue                      
get                             get                             VB       FeatureMap                                        
parameter                       parameter                       NN       FeatureMap                                        
value                           value                           NN       FeatureMap                                        
group                           group                           NN       FeatureMap                                        
get                             get                             VB       Collection of UserDistributionDataPointType       
user                            user                            NN       Collection of UserDistributionDataPointType       
distribution                    distribution                    NN       Collection of UserDistributionDataPointType       
data                            datum                           NNS      Collection of UserDistributionDataPointType       
point                           point                           NN       Collection of UserDistributionDataPointType       
get                             get                             VB       ResultType                                        
get                             get                             VB       TimeUnit                                          
case                            case                            NN       Adapter                                           
bps                             bp                              NNS      Adapter                                           
im                              im                              VBP      Adapter                                           
data                            datum                           NNS      Adapter                                           
type                            type                            NN       Adapter                                           
default                         default                         NN       Adapter                                           
create                          create                          VB       Adapter                                           
adapter                         adapter                         NN       Adapter                                           
create                          create                          VB       Resource                                          
resource                        resource                        NN       Resource                                          
case                            case                            NN       T                                                 
bps                             bp                              NNS      T                                                 
im                              im                              VBP      T                                                 
data                            datum                           NNS      T                                                 
type                            type                            NN       T                                                 
default                         default                         NN       T                                                 
do                              do                              VB       T                                                 
switch                          switch                          VB       T                                                 
get                             get                             VB       Collection of Factory                             
registrations                   registration                    NNS      Collection of Factory                             
get                             get                             VB       GlobalType                                        
