text                                                                              lemma                                                                             postag                                              data_type                                         
after rule flow group activated                                                   after rule flow group activate                                                    IN NN NN NN VBD                                     void                                              
after rule flow group deactivated                                                 after rule flow group deactivate                                                  IN NN NN NN VBD                                     void                                              
agenda group popped                                                               agenda group pop                                                                  NN NN VBD                                           void                                              
agenda group pushed                                                               agenda group push                                                                 NN NN VBD                                           void                                              
before match fired                                                                before match fire                                                                 IN NN VBD                                           void                                              
before rule flow group activated                                                  before rule flow group activate                                                   IN NN NN NN VBD                                     void                                              
before rule flow group deactivated                                                before rule flow group deactivate                                                 IN NN NN NN VBD                                     void                                              
match cancelled                                                                   match cancel                                                                      NN VBD                                              void                                              
match created                                                                     match create                                                                      NN VBD                                              void                                              
test rule task with facts                                                         test rule task with fact                                                          NN NN NN IN NNS                                     void                                              
test rule task with facts with persistence                                        test rule task with fact with persistence                                         NN NN NN IN NNS IN NN                               void                                              
test script task                                                                  test script task                                                                  NN NN NN                                            void                                              
test script task js                                                               test script task j                                                                NN NN NN NNS                                        void                                              
test script task with history log                                                 test script task with history log                                                 NN NN NN IN NN NN                                   void                                              
test script task with variable by name                                            test script task with variable by name                                            NN NN NN IN JJ IN NN                                void                                              
test send task                                                                    test send task                                                                    NN VB NN                                            void                                              
test service task                                                                 test service task                                                                 NN NN NN                                            void                                              
test service task interface                                                       test service task interface                                                       NN NN NN NN                                         void                                              
test service task no interface name                                               test service task no interface name                                               NN NN NN DT NN NN                                   void                                              
compile                                                                           compile                                                                           VB                                                  Object                                            
transform                                                                         transform                                                                         VB                                                  Object                                            
test service task with custom transformation                                      test service task with custom transformation                                      NN NN NN IN NN NN                                   void                                              
test service task with mvel collection transformation                             test service task with mvel collection transformation                             NN NN NN IN JJ NN NN                                void                                              
test service task with mvel jaxb transformation                                   test service task with mvel jaxb transformation                                   NN NN NN IN JJ NN NN                                void                                              
test service task with mvel transformation                                        test service task with mvel transformation                                        NN NN NN IN JJ NN                                   void                                              
test service task with transformation                                             test service task with transformation                                             NN NN NN IN NN                                      void                                              
test sub process                                                                  test sub process                                                                  NN NN NN                                            void                                              
test sub process with entry exit scripts                                          test sub process with entry exit script                                           NN NN NN IN NN NN NNS                               void                                              
test sub process with terminate end event                                         test sub process with terminate end event                                         NN NN NN IN VB NN NN                                void                                              
test sub process with terminate end event process scope                           test sub process with terminate end event process scope                           NN NN NN IN VB NN NN NN NN                          void                                              
test sub process with type variable                                               test sub process with type variable                                               NN NN NN IN NN NN                                   void                                              
test user task                                                                    test user task                                                                    NN NN NN                                            void                                              
test user task parametrized input                                                 test user task parametrize input                                                  NN NN NN VBD NN                                     void                                              
test user task verify parameters                                                  test user task verify parameter                                                   NN NN NN VB NNS                                     void                                              
test user task with boolean output                                                test user task with boolean output                                                NN NN NN IN JJ NN                                   void                                              
test user task with data store scenario                                           test user task with datum store scenario                                          NN NN NN IN NNS NN NN                               void                                              
test user task with sim data                                                      test user task with sim datum                                                     NN NN NN IN NN NNS                                  void                                              
slurp                                                                             slurp                                                                             NN                                                  String                                            
difference found                                                                  difference find                                                                   NN VBD                                              int                                               
skipped comparison                                                                skip comparison                                                                   VBD NN                                              void                                              
test xml                                                                          test xml                                                                          NN NN                                               void                                              
compensation in sub sub processes                                                 compensation in sub sub process                                                   NN IN NN NN NNS                                     void                                              
compensation invoking sub process                                                 compensation invoke sub process                                                   NN VBG NN NN                                        void                                              
compensation only after associated activity has completed                         compensation only after associated activity have complete                         NN RB IN JJ NN VBZ VBN                              void                                              
compensation twice via signal                                                     compensation twice via signal                                                     NN RB IN NN                                         void                                              
compensation via cancellation                                                     compensation via cancellation                                                     NN IN NN                                            void                                              
compensation via event sub process                                                compensation via event sub process                                                NN IN NN NN NN                                      void                                              
compensation via intermediate throw event process                                 compensation via intermediate throw event process                                 NN IN JJ VBP NN NN                                  void                                              
compensation with reusable subprocess                                             compensation with reusable subprocess                                             NN IN JJ NN                                         void                                              
ordered compensation                                                              order compensation                                                                VBN NN                                              void                                              
prepare                                                                           prepare                                                                           VB                                                  void                                              
specific compensation of as ub process                                            specific compensation of as ub process                                            JJ NN IN IN NN NN                                   void                                              
build action                                                                      build action                                                                      VB NN                                               void                                              
get action descrs                                                                 get action descr                                                                  VB NN NNS                                           1D Collection of ActionDescr                      
get return value descrs                                                           get return value descr                                                            VB NN NN NNS                                        1D Collection of ReturnValueDescr                 
build return value evaluator                                                      build return value evaluator                                                      VB NN NN NN                                         void                                              
test return value descr creation                                                  test return value descr creation                                                  NN NN NN NN NN                                      void                                              
join                                                                              join                                                                              VB                                                  void                                              
create stateful knowledge session                                                 create stateful knowledge session                                                 VB JJ NN NN                                         StatefulKnowledgeSession                          
do multiple processes in multiple threads                                         do multiple process in multiple thread                                            VB JJ NNS IN JJ NNS                                 void                                              
start threads                                                                     start thread                                                                      VB NNS                                              void                                              
test multi thread process instance work item                                      test multus thread process instance work item                                     NN NNS NN NN NN NN NN                               void                                              
test association                                                                  test association                                                                  NN NN                                               void                                              
test data input associations                                                      test datum input association                                                      NN NNS NN NNS                                       void                                              
test data input associations with lazy loading                                    test datum input association with lazy loading                                    NN NNS NN NNS IN JJ NN                              void                                              
test data input associations with string                                          test datum input association with string                                          NN NNS NN NNS IN NN                                 void                                              
test data input associations with string object                                   test datum input association with string object                                   NN NNS NN NNS IN NN NN                              void                                              
test data input associations with string without quotes                           test datum input association with string without quote                            NN NNS NN NNS IN NN IN NNS                          void                                              
test data input associations with two assigns                                     test datum input association with two assign                                      NN NNS NN NNS IN CD VBZ                             void                                              
test data input associations with xmll iteral                                     test datum input association with xmll iteral                                     NN NNS NN NNS IN NN NN                              void                                              
test data object                                                                  test datum object                                                                 NN NNS VBP                                          void                                              
test data output associations                                                     test datum output association                                                     NN NNS NN NNS                                       void                                              
test data output associations xml node                                            test datum output association xml node                                            NN NNS NN NNS VBP NN                                void                                              
test data output associationsfor human task                                       test datum output associationsfor human task                                      NN NNS NN NN JJ NN                                  void                                              
test data store                                                                   test datum store                                                                  NN NNS NN                                           void                                              
test evaluation process                                                           test evaluation process                                                           NN NN NN                                            void                                              
test evaluation process2                                                          test evaluation process2                                                          NN NN NN                                            void                                              
test evaluation process3                                                          test evaluation process3                                                          NN NN NN                                            void                                              
test import                                                                       test import                                                                       NN NN                                               void                                              
test xpath expression                                                             test xpath expression                                                             NN NN NN                                            void                                              
test error end event process                                                      test error end event process                                                      NN NN NN NN NN                                      void                                              
test escalation end event process                                                 test escalation end event process                                                 NN NN NN NN NN                                      void                                              
test implicit end parallel                                                        test implicit end parallel                                                        NN JJ NN NN                                         void                                              
test message end                                                                  test message end                                                                  NN NN NN                                            void                                              
test message end verify deployment id                                             test message end verify deployment id                                             NN NN NN VB NN NN                                   void                                              
test on entry exit mixed namespaced script                                        test on entry exit mixed namespaced script                                        NN IN NN NN JJ JJ NN                                void                                              
test on entry exit namespaced script                                              test on entry exit namespace script                                               NN IN NN NN VBD NN                                  void                                              
test on entry exit script                                                         test on entry exit script                                                         NN IN NN NN NN                                      void                                              
test on entry exit script designer                                                test on entry exit script designer                                                NN IN NN NN NN NN                                   void                                              
test signal end                                                                   test signal end                                                                   NN NN NN                                            void                                              
test terminate end                                                                test terminate end                                                                NN VB NN                                            void                                              
test terminate within subprocess end                                              test terminate within subprocess end                                              NN VB IN JJ NN                                      void                                              
test boundary error event default handler with error code with structure ref      test boundary error event default handler with error code with structure ref      NN NN NN NN NN NN IN NN NN IN NN NN                 void                                              
test boundary error event default handler with error code without structure ref   test boundary error event default handler with error code without structure ref   NN NN NN NN NN NN IN NN NN IN NN NN                 void                                              
test boundary error event default handler without error code with structure ref   test boundary error event default handler without error code with structure ref   NN NN NN NN NN NN IN NN NN IN NN NN                 void                                              
test boundary error event default handler without error code without structure r  test boundary error event default handler without error code without structure r  NN NN NN NN NN NN IN NN NN IN NN NN                 void                                              
test boundary error event structure ref                                           test boundary error event structure ref                                           NN NN NN NN NN NN                                   void                                              
test boundary error event sub process exception mapping                           test boundary error event sub process exception mapping                           NN NN NN NN NN NN NN NN                             void                                              
test catch error boundary event on task                                           test catch error boundary event on task                                           NN NN NN NN NN IN NN                                void                                              
test error boundary event                                                         test error boundary event                                                         NN NN NN NN                                         void                                              
test error boundary event on entry                                                test error boundary event on entry                                                NN NN NN NN IN NN                                   void                                              
test error boundary event on exit                                                 test error boundary event on exit                                                 NN NN NN NN IN NN                                   void                                              
test error boundary event on service task                                         test error boundary event on service task                                         NN NN NN NN IN NN NN                                void                                              
test error boundary event on task                                                 test error boundary event on task                                                 NN NN NN NN IN NN                                   void                                              
test error signalling exception service task                                      test error signalling exception service task                                      NN NN NN NN NN NN                                   void                                              
test event sub process error with script                                          test event sub process error with script                                          NN NN NN NN NN IN NN                                void                                              
test event subprocess error                                                       test event subprocess error                                                       NN NN NN NN                                         void                                              
test event subprocess error throw on task                                         test event subprocess error throw on task                                         NN NN NN NN VB IN NN                                void                                              
test event subprocess error with error code                                       test event subprocess error with error code                                       NN NN NN NN IN NN NN                                void                                              
test event subprocess error with out error code                                   test event subprocess error with out error code                                   NN NN NN NN IN JJ NN NN                             void                                              
test signalling exception service task                                            test signalling exception service task                                            NN NN NN NN NN                                      void                                              
test escalation boundary event                                                    test escalation boundary event                                                    NN NN NN NN                                         void                                              
test escalation boundary event and intermediate                                   test escalation boundary event and intermediate                                   NN NN NN NN CC JJ                                   void                                              
test escalation boundary event interrupting                                       test escalation boundary event interrupt                                          NN NN NN NN VBG                                     void                                              
test escalation boundary event interrupts task                                    test escalation boundary event interrupt task                                     NN NN NN NN VBZ NN                                  void                                              
test escalation intermediate throw event process                                  test escalation intermediate throw event process                                  NN NN JJ VBP NN NN                                  void                                              
test event subprocess escalation                                                  test event subprocess escalation                                                  NN NN NN NN                                         void                                              
test general escalation boundary event with task                                  test general escalation boundary event with task                                  NN JJ NN NN NN IN NN                                void                                              
test interrupting escalation boundary event on task                               test interrupt escalation boundary event on task                                  NN VBG NN NN NN IN NN                               void                                              
test non interrupting escalation boundary event on task                           test non interrupt escalation boundary event on task                              NN JJ VBG NN NN NN IN NN                            void                                              
execute                                                                           execute                                                                           VB                                                  Object                                            
clear properties                                                                  clear property                                                                    JJ NNS                                              void                                              
test conditional flow                                                             test conditional flow                                                             NN JJ NN                                            void                                              
test exclusive split                                                              test exclusive split                                                              NN JJ NN                                            void                                              
test exclusive split default                                                      test exclusive split default                                                      NN JJ NN NN                                         void                                              
test exclusive split default no condition                                         test exclusive split default no condition                                         NN JJ NN NN DT NN                                   void                                              
test exclusive split priority                                                     test exclusive split priority                                                     NN JJ NN NN                                         void                                              
test exclusive split with no conditions                                           test exclusive split with no condition                                            NN JJ NN IN DT NNS                                  void                                              
test exclusive split xp ath advanced                                              test exclusive split xp ath advance                                               NN JJ NN NN NN VBD                                  void                                              
test exclusive split xp ath advanced2                                             test exclusive split xp ath advanced2                                             NN JJ NN NN NN NN                                   void                                              
test exclusive split xp ath advanced with vars                                    test exclusive split xp ath advance with var                                      NN JJ NN NN NN VBD IN NNS                           void                                              
test exclusive xorg ateway                                                        test exclusive xorg ateway                                                        NN JJ NN NN                                         void                                              
test inclusive join with loop and human tasks                                     test inclusive join with loop and human task                                      NN JJ VB IN NN CC JJ NNS                            void                                              
test inclusive parallel exclusive split loop                                      test inclusive parallel exclusive split loop                                      NN JJ NN JJ NN NN                                   void                                              
test inclusive parallel exclusive split loop async                                test inclusive parallel exclusive split loop async                                NN JJ NN JJ NN NN NN                                void                                              
test inclusive parallel exclusive split no loop                                   test inclusive parallel exclusive split no loop                                   NN JJ NN JJ NN DT NN                                void                                              
test inclusive parallel exclusive split no loop async                             test inclusive parallel exclusive split no loop async                             NN JJ NN JJ NN DT NN NN                             void                                              
test inclusive split                                                              test inclusive split                                                              NN JJ NN                                            void                                              
test inclusive split and join                                                     test inclusive split and join                                                     NN JJ NN CC VB                                      void                                              
test inclusive split and join embedded                                            test inclusive split and join embedded                                            NN JJ NN CC VB JJ                                   void                                              
test inclusive split and join extra path                                          test inclusive split and join extra path                                          NN JJ NN CC VB JJ NN                                void                                              
test inclusive split and join loop                                                test inclusive split and join loop                                                NN JJ NN CC VB NN                                   void                                              
test inclusive split and join loop2                                               test inclusive split and join loop2                                               NN JJ NN CC VB NN                                   void                                              
test inclusive split and join nested                                              test inclusive split and join nested                                              NN JJ NN CC VB JJ                                   void                                              
test inclusive split and join with end                                            test inclusive split and join with end                                            NN JJ NN CC VB IN NN                                void                                              
test inclusive split and join with parallel                                       test inclusive split and join with parallel                                       NN JJ NN CC VB IN NN                                void                                              
test inclusive split and join with timer                                          test inclusive split and join with timer                                          NN JJ NN CC VB IN NN                                void                                              
test inclusive split default                                                      test inclusive split default                                                      NN JJ NN NN                                         void                                              
test inclusive split default connection                                           test inclusive split default connection                                           NN JJ NN NN NN                                      void                                              
test inclusive split nested                                                       test inclusive split nested                                                       NN JJ NN JJ                                         void                                              
test inclusive split with loop inside                                             test inclusive split with loop inside                                             NN JJ NN IN NN IN                                   void                                              
test inclusive split with loop inside subprocess                                  test inclusive split with loop inside subprocess                                  NN JJ NN IN NN IN NN                                void                                              
test lane                                                                         test lane                                                                         NN NN                                               void                                              
test multi instance loop characteristics process                                  test multus instance loop characteristic process                                  NN NNS NN NN NNS NN                                 void                                              
test multi instance loop characteristics process2                                 test multus instance loop characteristic process2                                 NN NNS NN NN NNS NN                                 void                                              
test multi instance loop characteristics process with org ateway                  test multus instance loop characteristic process with org ateway                  NN NNS NN NN NNS NN IN NN NN                        void                                              
test multi instance loop characteristics process with output                      test multus instance loop characteristic process with output                      NN NNS NN NN NNS NN IN NN                           void                                              
test multi instance loop characteristics process with output and scripts          test multus instance loop characteristic process with output and script           NN NNS NN NN NNS NN IN NN CC NNS                    void                                              
test multi instance loop characteristics process with output completion conditio  test multus instance loop characteristic process with output completion conditio  NN NNS NN NN NNS NN IN NN NN NN                     void                                              
test multi instance loop characteristics task                                     test multus instance loop characteristic task                                     NN NNS NN NN NNS NN                                 void                                              
test multi instance loop characteristics task with output                         test multus instance loop characteristic task with output                         NN NNS NN NN NNS NN IN NN                           void                                              
test multi instance loop characteristics task with output completion condition    test multus instance loop characteristic task with output completion condition    NN NNS NN NN NNS NN IN NN NN NN                     void                                              
test multi instance loop characteristics task with output completion condition2   test multus instance loop characteristic task with output completion condition2   NN NNS NN NN NNS NN IN NN NN NN                     void                                              
test multi instance loop number test                                              test multus instance loop number test                                             NN NNS NN NN NN NN                                  void                                              
test multiple enabled on single conditional sequence flow                         test multiple enable on single conditional sequence flow                          NN JJ VBD IN JJ JJ NN NN                            void                                              
test multiple gateways process                                                    test multiple gateway process                                                     NN JJ NNS NN                                        void                                              
test multiple in outgoing sequence flows                                          test multiple in outgoing sequence flow                                           NN JJ IN JJ NN NNS                                  void                                              
test multiple in outgoing sequence flows disable                                  test multiple in outgoing sequence flow disable                                   NN JJ IN JJ NN VBZ VB                               void                                              
test multiple incoming flow to end node                                           test multiple incoming flow to end node                                           NN JJ JJ NN TO VB NN                                void                                              
